Pays;Facteur d'émission de l'électricité du réseau (kgCOe/kWh);Source;;;;;;;;
France continentale, 2022;0,052;Base Empreinte, ADEME, 2022;;;;;;;;
Union européenne à 27;0,2307;EEA, 2020;;;;;;;;
Monde;0,4787;AIE;;;;;;;;
France entière (dont Corse et DROM);0,079;Calcul à partir de donnée de répartition de la population Française (donnée Insee) et mix électriques par régions (Facteurs moyens Outre Mer, Base Empreinte, ADEME & Facteur moyen France continentale, 2022, Base Empreinte ADEME);;;;;;;;
St Pierre et Miquelon;0,944;Base Empreinte, ADEME;;;;;;;;
St Martin;0,82;Base Empreinte, ADEME;;;;;;;;
St Barthélémy;0,859;Base Empreinte, ADEME;;;;;;;;
Réunion;0,78;Base Empreinte, ADEME;;;;;;;;
Mayotte;0,78;Base Empreinte, ADEME;;;;;;;;
Guadeloupe;0,5886076;Ember Climate, 2020;;;;;;;;
Martinique;0,6535948;Ember Climate, 2020;;;;;;;;
Guyane;0,957;Base Empreinte, ADEME;;;;;;;;
Corse;0,594;Base Empreinte, ADEME;;;;;;;;
Tahiti;0,422;Base Empreinte, ADEME;;;;;;;;
Polynésie Française - hors Tahiti;0,858;Base Empreinte, ADEME;;;;;;;;
Afrique du Sud;0,66473755;Ember Climate, 2021;;;;;;;;
Albanie;0,024482107;Ember Climate, 2020;;;;;;;;
Algérie;0,44974878;Ember Climate, 2020;;;;;;;;
Allemagne;0,311;EEA, 2020;;;;;;;;
Angola;0,16886728;Ember Climate, 2020;;;;;;;;
Antilles Néerlandaises;0,707;Base Empreinte, ADEME;;;;;;;;
Arabie Saoudite;0,56850006;Ember Climate, 2021;;;;;;;;
Argentine;0,34729196;Ember Climate, 2021;;;;;;;;
Arménie;0,20694258;Ember Climate, 2021;;;;;;;;
Australie;0,48625497;Ember Climate, 2021;;;;;;;;
Autriche;0,0824;EEA, 2020;;;;;;;;
Azerbaïdjan;0,48151907;Ember Climate, 2021;;;;;;;;
Bahreïn;0,48995312;Ember Climate, 2020;;;;;;;;
Bangladesh;0,44666843;Ember Climate, 2021;;;;;;;;
Biélorussie;0,44362558;Ember Climate, 2021;;;;;;;;
Belgique;0,161;EEA, 2020;;;;;;;;
Bénin;0,65217395;Ember Climate, 2020;;;;;;;;
Birmanie;0,31110156;Ember Climate, 2020;;;;;;;;
Bolivie;0,3114754;Ember Climate, 2021;;;;;;;;
Bosnie-Herzégovine;0,47845804;Ember Climate, 2021;;;;;;;;
